Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments
1,tseries,Música y baile,249500000,India,86200,2700,78
2,MrBeast,"Videojuegos, Humor",183500000,Estados Unidos,117400000,5300000,18500
3,CoComelon,Educación,165500000,Unknown,7000000,24700,0
4,KidsDianaShow,"Animación, Juguetes",113500000,Unknown,3900000,12400,0
5,PewDiePie,"Películas, Videojuegos",111500000,Estados Unidos,2400000,197300,4900
6,LikeNastyaofficial,Juguetes,107500000,Unknown,2600000,28000,0
7,VladandNiki,"Animación, Juguetes",101400000,Unknown,4100000,22100,0
8,zeemusiccompany,Música y baile,99700000,India,74300,2600,32
9,WWE,Videojuegos,97200000,Estados Unidos,184500,6300,214
10,BLACKPINK,Música y baile,91300000,Estados Unidos,863200,146900,3400
11,SonySAB,"Películas, Animación",85400000,India,35500,615,21
12,5MinuteCraftsYouTube,Películas,80300000,India,164600,703,35
13,BTS,Música y baile,76500000,India,969700,180300,7400
14,HYBELABELS,Música y baile,72700000,Estados Unidos,440700,23900,932
15,Pinkfong,"Animación, Juguetes",69600000,Unknown,506400,397,0
16,ChuChuTV,Juguetes,67500000,Unknown,652100,17800,0
17,KondZilla,Música y baile,66600000,Brasil,30400,1100,4
18,filmigaane,Música y baile,66400000,India,33000,392,18
19,TSeriesBhaktiSagar,Música y baile,62600000,India,24900,983,35
20,tipsofficial,Música y baile,60900000,India,80200,935,22
21,MOVIECLIPS,"Películas, Animación",59900000,Estados Unidos,16600,231,9
22,ElReinoInfantil,Música y baile,59700000,Unknown,393000,2600,0
23,dudeperfect,Videojuegos,59700000,Estados Unidos,5300000,156500,4200
24,aajtak,Noticias y Política,58900000,India,7600,229,4
25,WaveMusicIndia,Música y baile,58700000,Unknown,36600,792,54
26,SonyMusicIndia,Música y baile,57900000,India,26300,964,21
27,marshmello,Música y baile,56700000,Estados Unidos,145900,8900,167
28,yrf,Música y baile,55700000,India,60300,2100,33
29,infobellshindirhymes,Educación,55700000,Unknown,1200000,34700,0
30,LooLooKids,Música y baile,54800000,Estados Unidos,595600,2700,0
31,TaylorSwift,Música y baile,54100000,Estados Unidos,4300000,300400,15000
32,EdSheeran,Música y baile,53700000,Estados Unidos,144200,10200,345
33,BillionSurpriseToys,Juguetes,53100000,Unknown,1600000,0,0
34,ArianaGrande,Música y baile,52900000,Estados Unidos,1100000,85800,3800
35,JuegaGerman,"Películas, Animación",48600000,México,2000000,117100,3000
36,BillieEilish,Música y baile,48600000,Estados Unidos,208100,27200,476
37,sonymusicindiaVEVO,Música y baile,47500000,India,36600,664,28
38,A4a4a4a4,"Animación, Humor",47300000,Rusia,9700000,330400,22000
39,HarPalGeoOfficial,"Películas, Animación",46400000,Pakistán,11000,299,2
40,KatyPerry,Música y baile,44400000,Unknown,101400,7500,177
41,Shakira,Videojuegos,44400000,Estados Unidos,102100,8200,210
42,whindersson,"Música y baile, Animación",44400000,Brasil,174600,35700,154
43,Alanwalkermusic,"Música y baile, Películas",44000000,Estados Unidos,124700,8200,205
44,MashaBearEN,"Películas, Animación",43700000,Unknown,856200,7500,0
45,Mikecrack,"Películas, Animación",43400000,México,2200000,183400,1800
